,avgoktas,coolingdegreedays,coolingdegreedaysnormal,date.ampm,date.day,date.epoch,date.hour,date.iso8601,date.min,date.month,date.monthname,date.monthname_short,date.pretty,date.rfc822,date.sec,date.tz_long,date.tz_offset_hours,date.tz_offset_text,date.tz_short,date.weekday,date.weekday_short,date.yday,date.year,dewpoint,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,icon,max_dewpoint,max_humidity,max_pressure,max_temperature,max_temperature_normal,max_temperature_record,max_temperature_record_year,max_visibility,max_wind_speed,min_dewpoint,min_humidity,min_pressure,min_temperature,min_temperature_normal,min_temperature_record,min_temperature_record_year,min_visibility,min_wind_speed,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodateprecipitation,monthtodateprecipitationnormal,monthtodatesnowfall,precip,precipnormal,preciprecord,preciprecordyear,precipsource,pressure,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1janprecipitation,since1janprecipitationnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfall,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepth,snowfall,temperature,temperature_normal,thunder,tornado,visibility,wind_dir,wind_dir_degrees,wind_speed
0,8.0,0,,PM,1,978321600,12,2001-01-01T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 01, 2001","Mon, 01 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Monday,Mon,0,2001,44,0,0,0,16,,,cloudy,45,87,30.12,53,48,59,2016,2.0,4,43,67,29.98,46,38,26,2013,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.08,0,,,,,,,,,,,,0,,0.0,50,,0,0,2.0,,,3
1,7.0,0,,PM,2,978408000,12,2001-01-02T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 02, 2001","Tue, 02 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Tuesday,Tue,1,2001,42,1,0,0,18,,,hazy,45,93,30.27,51,48,59,1999,1.0,4,39,76,30.09,42,38,26,2005,0.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.14,0,,,,,,,,,,,,0,,0.0,46,,0,0,1.0,,,2
2,7.0,0,,PM,3,978494400,12,2001-01-03T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 03, 2001","Wed, 03 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Wednesday,Wed,2,2001,40,1,0,0,18,,,rain,45,93,30.3,53,48,59,2014,6.0,4,37,58,30.15,41,38,28,2005,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.24,1,,,,,,,,,,,,0,,0.0,47,,0,0,2.0,,,2
3,8.0,0,,PM,4,978580800,12,2001-01-04T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 04, 2001","Thu, 04 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Thursday,Thu,3,2001,42,0,0,0,18,,,cloudy,43,87,30.27,51,48,62,2016,2.0,4,41,67,30.15,44,37,30,2005,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.21,0,,,,,,,,,,,,0,,0.0,48,,0,0,2.0,,,1
4,8.0,0,,PM,5,978667200,12,2001-01-05T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 05, 2001","Fri, 05 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Friday,Fri,4,2001,42,0,0,0,19,,,rain,43,87,30.24,48,48,62,2017,2.0,4,41,82,30.01,44,37,30,2005,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.11,1,,,,,,,,,,,,0,,0.0,46,,0,0,1.0,,,2
5,7.0,0,,PM,6,978753600,12,2001-01-06T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 06, 2001","Sat, 06 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Saturday,Sat,5,2001,42,0,0,0,18,,,rain,45,93,30.15,51,48,57,2002,3.0,7,41,76,29.98,42,37,24,2002,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.07,1,,,,,,,,,,,,0,,0.0,46,,0,0,2.0,,,3
6,8.0,0,,PM,7,978840000,12,2001-01-07T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 07, 2001","Sun, 07 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Sunday,Sun,6,2001,43,0,0,0,18,,,cloudy,43,93,30.06,50,48,55,1998,2.0,7,43,76,29.86,44,37,28,2013,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,29.96,0,,,,,,,,,,,,0,,0.0,47,,0,0,1.0,,,2
7,8.0,0,,PM,8,978926400,12,2001-01-08T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 08, 2001","Mon, 08 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Monday,Mon,7,2001,38,0,0,0,18,,,rain,43,93,30.42,51,48,60,2008,6.0,16,28,46,29.95,42,37,28,2013,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.1,1,,,,,,,,,,,,0,,0.0,46,,0,0,3.0,,,4
8,7.0,0,,PM,9,979012800,12,2001-01-09T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 09, 2001","Tue, 09 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Tuesday,Tue,8,2001,33,0,0,0,22,,,mostlycloudy,37,87,30.45,48,47,55,2003,6.0,7,30,50,30.24,37,37,28,2003,2.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.36,0,,,,,,,,,,,,0,,0.0,42,,0,0,5.0,,,4
9,5.0,0,,PM,10,979099200,12,2001-01-10T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 10, 2001","Wed, 10 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Wednesday,Wed,9,2001,32,0,0,0,26,,,partlysunny,36,93,30.24,48,47,55,1998,6.0,7,27,50,30.04,30,37,26,2018,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.15,0,,,,,,,,,,,,0,,0.0,39,,0,0,3.0,,,2
